Iteration 119 took: 0.02695168 sec, quid counter = 111
Iteration 120 took: 0.02410732 sec, quid counter = 105
Iteration 121 took: 0.01691745 sec, quid counter = 106
Iteration 122 took: 0.03724780 sec, quid counter = 100
Iteration 123 took: 0.02889616 sec, quid counter = 99
Iteration 124 took: 0.01961229 sec, quid counter = 93
Iteration 125 took: 0.01984040 sec, quid counter = 88
Iteration 126 took: 0.04430509 sec, quid counter = 81
Iteration 127 took: 0.01714034 sec, quid counter = 70
Iteration 128 took: 0.03279650 sec, quid counter = 66
Iteration 129 took: 0.03363589 sec, quid counter = 65
Iteration 130 took: 0.01710844 sec, quid counter = 67
Iteration 131 took: 0.01822096 sec, quid counter = 68
Iteration 132 took: 0.03587183 sec, quid counter = 72
Iteration 133 took: 0.01314445 sec, quid counter = 68
Iteration 134 took: 0.01668996 sec, quid counter = 66
Iteration 135 took: 0.02632791 sec, quid counter = 59
Iteration 136 took: 0.02866288 sec, quid counter = 53
Iteration 137 took: 0.03175169 sec, quid counter = 53
Iteration 138 took: 0.03119903 sec, quid counter = 51
Iteration 139 took: 0.03134196 sec, quid counter = 46
Iteration 140 took: 0.03480913 sec, quid counter = 45
Iteration 141 took: 0.02120562 sec, quid counter = 40
Iteration 142 took: 0.03188702 sec, quid counter = 45
Iteration 143 took: 0.03637524 sec, quid counter = 43
Iteration 144 took: 0.03225199 sec, quid counter = 42
Iteration 145 took: 0.03229826 sec, quid counter = 42
Iteration 146 took: 0.03376700 sec, quid counter = 40
Iteration 147 took: 0.03683694 sec, quid counter = 41
Iteration 148 took: 0.03292228 sec, quid counter = 38
Iteration 149 took: 0.02941879 sec, quid counter = 35
Iteration 150 took: 0.03556264 sec, quid counter = 30
Iteration 151 took: 0.01604229 sec, quid counter = 29
Iteration 152 took: 0.01880347 sec, quid counter = 30
Iteration 153 took: 0.01636868 sec, quid counter = 28
Iteration 154 took: 0.03209725 sec, quid counter = 29
Iteration 155 took: 0.03661815 sec, quid counter = 28
Iteration 156 took: 0.01934470 sec, quid counter = 27
Iteration 157 took: 0.01826187 sec, quid counter = 26
Iteration 158 took: 0.03399629 sec, quid counter = 28
Iteration 159 took: 0.03626007 sec, quid counter = 29
Iteration 160 took: 0.01544716 sec, quid counter = 26
Iteration 161 took: 0.01543629 sec, quid counter = 21
Iteration 162 took: 0.03437303 sec, quid counter = 18
Iteration 163 took: 0.02026921 sec, quid counter = 17
Iteration 164 took: 0.03011813 sec, quid counter = 15
Iteration 165 took: 0.01663321 sec, quid counter = 16
Iteration 166 took: 0.01357586 sec, quid counter = 16
Iteration 167 took: 0.03236182 sec, quid counter = 17
Iteration 168 took: 0.03327771 sec, quid counter = 16
Iteration 169 took: 0.03141242 sec, quid counter = 12
Iteration 170 took: 0.01577410 sec, quid counter = 12
Iteration 171 took: 0.01617552 sec, quid counter = 14
Iteration 172 took: 0.01525243 sec, quid counter = 14
Iteration 173 took: 0.03060998 sec, quid counter = 13
Iteration 174 took: 0.03393910 sec, quid counter = 12
Iteration 175 took: 0.03333287 sec, quid counter = 11
Iteration 176 took: 0.03451017 sec, quid counter = 9
Iteration 177 took: 0.03199494 sec, quid counter = 9
Iteration 178 took: 0.03267235 sec, quid counter = 9
Iteration 179 took: 0.03255492 sec, quid counter = 9
Iteration 180 took: 0.03082413 sec, quid counter = 10
Iteration 181 took: 0.03507010 sec, quid counter = 10
